category,developer,name,platforms,price,release_date,reviews_quan,score,url
"Indie Games,Craft The World,Downloadable Content",Dekovir Entertainment,Craft The World - Grottoes,windows mac ,21,"23 Oct, 2019",30,,https://store.steampowered.com/app/1157310/Craft_The_World__Grottoes/?snr=1_7_7_151_150_2
Strategy Games,Mojang Studios,Minecraft Legends,,,Coming 2023,,,https://store.steampowered.com/app/1928870/Minecraft_Legends/?snr=1_7_7_151_150_1
"Indie Games,101XP Franchise",Brezg Studio,For the People,windows mac linux ,174,"13 Aug, 2020",534,,https://store.steampowered.com/app/1146600/For_the_People/?snr=1_7_7_151_150_1
Action Games,Indie Games Studio,Madness,windows ,10,"22 Nov, 2016",47,,https://store.steampowered.com/app/555930/Madness/?snr=1_7_7_151_150_1
Indie Games,Enoops,Mysterious Blocks 2,windows ,13,"17 Jun, 2021",14,,https://store.steampowered.com/app/1650080/Mysterious_Blocks_2/?snr=1_7_7_151_150_1
Strategy Games,LOMS Studio,Valand,windows ,156,"4 Nov, 2022",25,,https://store.steampowered.com/app/2006390/Valand/?snr=1_7_7_151_150_1
RPG Games,Enoops,FOS,windows ,15,"16 May, 2020",333,,https://store.steampowered.com/app/1225810/FOS/?snr=1_7_7_151_150_2
"Strategy Games,Warbanners,Downloadable Content",Crasleen Games,Warbanners: Death Speaker,windows linux ,39,"29 Mar, 2018",15,,https://store.steampowered.com/app/818700/Warbanners_Death_Speaker/?snr=1_7_7_151_150_1
Action Games,IR Studio,Starship Annihilator,windows ,9,"2 Sep, 2016",96,,https://store.steampowered.com/app/525300/Starship_Annihilator/?snr=1_7_7_151_150_1
Casual Games,AZAMATIKA,Gun Done,windows ,15,"13 Jun, 2016",532,,https://store.steampowered.com/app/488280/Gun_Done/?snr=1_7_7_151_150_1
"Action Games,Valkyrie Initiative Franchise",SPECTRUM GAMES,Weable,windows ,15,"23 Aug, 2017",182,,https://store.steampowered.com/app/683830/Weable/?snr=1_7_7_151_150_1
"Indie Games,DuCats Games Franchise",DuCats Games Studio,Swordbreaker The Game,windows mac ,90,"6 Nov, 2015",265,,https://store.steampowered.com/app/411760/Swordbreaker_The_Game/?snr=1_7_7_151_150_1
"Indie Games,Daedalic Entertainment Franchise,Ken Follett's The Pillars of the Earth,Downloadable Content",Daedalic Entertainment,Ken Follett's The Pillars of the Earth - Soundtrack,,10,"15 Aug, 2017",23,,https://store.steampowered.com/app/643650/Ken_Folletts_The_Pillars_of_the_Earth__Soundtrack/?snr=1_7_7_151_150_1
Action Games,IO Games,ZIC – Zombies in City,windows ,29,"23 May, 2019",30,,https://store.steampowered.com/app/1051290/ZIC__Zombies_in_City/?snr=1_7_7_151_150_1
Indie Games,Albino Studio,Mind Rite,windows ,170,"19 Feb, 2022",24,,https://store.steampowered.com/app/1562870/Mind_Rite/?snr=1_7_7_151_150_1
